Wind direction at 10m (deg),Wind speed at 10m (knots),Temperature at 2m (deg C),Rainfall mm/hr,ID,Valid time
140,13,18.4,5.0,AAA,09:00 24-Dec-2018 UTC
130,09,18.7,1.0,AAA,08:00 24-Dec-2018 UTC
130,14,18.9,0.6,AAA,07:00 24-Dec-2018 UTC
140,11,19.2,1.4,AAA,06:00 24-Dec-2018 UTC
150,05,20.0,1.8,AAA,05:00 24-Dec-2018 UTC
180,04,20.1,0.8,AAA,04:00 24-Dec-2018 UTC
020,02,20.4,1.0,AAA,03:00 24-Dec-2018 UTC
060,06,20.5,0.6,AAA,02:00 24-Dec-2018 UTC
090,06,20.3,1.0,AAA,01:00 24-Dec-2018 UTC
060,10,20.3,0.2,AAA,00:00 24-Dec-2018 UTC
090,07,20.4,0.6,AAA,23:00 23-Dec-2018 UTC
120,05,20.1,0.4,AAA,22:00 23-Dec-2018 UTC
120,03,19.8,7.6,AAA,21:00 23-Dec-2018 UTC
030,04,19.6,0.6,AAA,20:00 23-Dec-2018 UTC
360,06,19.8,0.6,AAA,19:00 23-Dec-2018 UTC
040,08,19.5,0.0,AAA,18:00 23-Dec-2018 UTC
100,03,18.7,0.0,AAA,17:00 23-Dec-2018 UTC
130,02,18.6,6.6,AAA,16:00 23-Dec-2018 UTC
340,03,19.3,4.8,AAA,15:00 23-Dec-2018 UTC
340,08,19.6,3.8,AAA,14:00 23-Dec-2018 UTC
020,11,19.5,6.2,AAA,13:00 23-Dec-2018 UTC
040,12,19.2,2.8,AAA,12:00 23-Dec-2018 UTC
050,12,19.4,0.0,AAA,11:00 23-Dec-2018 UTC
060,11,19.2,0.4,AAA,10:00 23-Dec-2018 UTC
050,10,19.1,1.0,AAA,09:00 23-Dec-2018 UTC
070,07,18.9,1.4,AAA,08:00 23-Dec-2018 UTC
060,09,18.8,4.2,AAA,07:00 23-Dec-2018 UTC
050,05,19.0,4.2,AAA,06:00 23-Dec-2018 UTC
050,09,19.6,1.0,AAA,05:00 23-Dec-2018 UTC
060,10,20.8,0.0,AAA,04:00 23-Dec-2018 UTC
060,11,20.9,0.0,AAA,03:00 23-Dec-2018 UTC
060,08,19.9,0.8,AAA,02:00 23-Dec-2018 UTC
080,03,19.5,2.8,AAA,01:00 23-Dec-2018 UTC
060,07,20.7,0.0,AAA,00:00 23-Dec-2018 UTC
060,07,21.3,0.0,AAA,23:00 22-Dec-2018 UTC
060,05,20.5,0.0,AAA,22:00 22-Dec-2018 UTC
060,03,20.0,0.0,AAA,21:00 22-Dec-2018 UTC
140,05,18.5,0.0,AAA,20:00 22-Dec-2018 UTC
130,06,17.5,0.0,AAA,19:00 22-Dec-2018 UTC
130,04,17.1,0.0,AAA,18:00 22-Dec-2018 UTC
160,07,16.7,0.0,AAA,17:00 22-Dec-2018 UTC
120,05,17.2,0.0,AAA,16:00 22-Dec-2018 UTC
100,05,17.5,0.2,AAA,15:00 22-Dec-2018 UTC
050,03,17.7,0.0,AAA,14:00 22-Dec-2018 UTC
060,04,18.3,0.0,AAA,13:00 22-Dec-2018 UTC
030,04,18.9,0.0,AAA,12:00 22-Dec-2018 UTC
050,04,18.9,0.0,AAA,11:00 22-Dec-2018 UTC
050,06,18.9,0.0,AAA,10:00 22-Dec-2018 UTC
020,05,19.3,0.0,AAA,09:00 22-Dec-2018 UTC
040,06,19.4,0.0,AAA,08:00 22-Dec-2018 UTC
060,06,20.2,0.0,AAA,07:00 22-Dec-2018 UTC
200,04,20.7,0.0,AAA,06:00 22-Dec-2018 UTC
230,03,20.8,0.0,AAA,05:00 22-Dec-2018 UTC
210,04,22.0,0.0,AAA,04:00 22-Dec-2018 UTC
220,06,22.0,0.0,AAA,03:00 22-Dec-2018 UTC
210,08,21.5,0.0,AAA,02:00 22-Dec-2018 UTC
220,08,21.5,0.0,AAA,01:00 22-Dec-2018 UTC
210,07,20.6,0.0,AAA,00:00 22-Dec-2018 UTC
230,07,20.2,0.0,AAA,23:00 21-Dec-2018 UTC
230,07,20.6,0.0,AAA,22:00 21-Dec-2018 UTC
260,07,18.9,0.0,AAA,21:00 21-Dec-2018 UTC
250,08,19.0,0.0,AAA,20:00 21-Dec-2018 UTC
250,07,18.0,0.0,AAA,19:00 21-Dec-2018 UTC
260,07,16.3,0.0,AAA,18:00 21-Dec-2018 UTC
240,06,15.4,0.8,AAA,17:00 21-Dec-2018 UTC
300,04,16.2,0.0,AAA,16:00 21-Dec-2018 UTC
300,08,15.9,0.0,AAA,15:00 21-Dec-2018 UTC
270,15,16.5,0.0,AAA,14:00 21-Dec-2018 UTC
270,12,17.4,0.0,AAA,13:00 21-Dec-2018 UTC
250,13,17.6,0.0,AAA,12:00 21-Dec-2018 UTC
260,13,17.2,0.0,AAA,11:00 21-Dec-2018 UTC
250,13,17.6,0.0,AAA,10:00 21-Dec-2018 UTC
240,18,16.3,0.0,AAA,09:00 21-Dec-2018 UTC
270,14,17.8,0.0,AAA,08:00 21-Dec-2018 UTC
290,14,16.6,0.0,AAA,07:00 21-Dec-2018 UTC
260,15,18.4,0.0,AAA,06:00 21-Dec-2018 UTC
260,15,18.8,0.0,AAA,05:00 21-Dec-2018 UTC
260,16,19.4,0.0,AAA,04:00 21-Dec-2018 UTC
270,17,20.6,0.0,AAA,03:00 21-Dec-2018 UTC
260,16,19.3,0.0,AAA,02:00 21-Dec-2018 UTC
250,19,20.2,0.0,AAA,01:00 21-Dec-2018 UTC
260,20,19.5,0.0,AAA,00:00 21-Dec-2018 UTC
